Posicion,Nombre de la cancion,Artista,Popularidad,Duration_ms,ReleaseDate
1,A Tu Manera,"Junior H, Peso Pluma",85,261068,2024-02-16
2,La Intención,"Christian Nodal, Peso Pluma",89,249464,2024-01-27
3,Regalo De Dios,Julión Álvarez y su Norteño Banda,88,185933,2023-11-17
4,FIRST LOVE,"Oscar Ortiz, Edgardo Nuñez",92,169440,2023-12-07
5,Igual Que Un Ángel (with Peso Pluma),"Kali Uchis, Peso Pluma",95,260370,2024-01-12
6,Cactus,Belinda,83,183381,2024-01-31
7,UNA CERVEZA,"Fuerza Regida, Manuel Turizo",87,279275,2023-10-20
8,,Xavi,98,172264,2023-11-30
9,Apaga El Cel,"Calle 24, Chino Pacas",88,170832,2023-12-22
10,Anda Bien el Nene,"Oscar Maydon, Grupo Marca Registrada",82,177023,2024-02-07
11,ANDO,"Jere Klein, Gittobeatz",84,172774,2023-12-01
12,Gata Only,"FloyyMenor, Cris Mj",91,222000,2024-02-02
13,Proyecto X,"Gabito Ballesteros, Natanael Cano",84,158036,2024-02-02
14,Alucin,"Eugenio Esquivel, Grupo Marca Registrada, Sebastian Esquivel",91,197114,2023-11-17
15,CONTIGO (with Tiësto),"KAROL G, Tiësto",90,192786,2024-02-15
16,Ya No Estoy Dolido,"Adrian L Santos, Joaquin Medina",84,179600,2024-01-08
17,CRAZYZ,Fuerza Regida,88,204815,2023-10-20
18,O Me Voy O Te Vas,Natanael Cano,88,242133,2023-10-11
19,La Suma,"Javier Rosas Y Su Artillería Pesada, Lupe Borbon y su Blindaje 7",84,198976,2023-11-15
20,Enculado,Fuerza Regida,82,147877,2024-02-09
21,BLING BLING,"Maluma, Octavio Cuadras, Grupo Marca Registrada",80,163057,2024-02-08
22,Alch Si,"Carin Leon, Grupo Frontera",86,153953,2023-11-30
23,Elvira,"Oscar Maydon, Gabito Ballesteros, Chino Pacas",86,196832,2023-12-22
24,BELLAKEO,"Peso Pluma, Anitta",94,197333,2023-12-07
25,Mamichula - con Nicki Nicole,"Trueno, Nicki Nicole, Bizarrap, Taiu, TATOOL",88,219201,2020-07-23
26,Quédate Bebé,Grupo Frontera,80,193258,2024-02-15
27,A Puro Dolor,Gabito Ballesteros,86,168086,2023-11-30
28,ROCKSTAR,Junior H,88,168677,2023-10-05
29,NO SON KLLE,"Santa Fe Klan, Duki, Peso Pluma",80,223586,2024-02-22
30,Rompe La Dompe,"Peso Pluma, Junior H, Oscar Maydon",89,165634,2023-12-28
31,La Víctima,Xavi,95,156345,2023-08-17
32,ALVRGZO,"Alex Favela, Código FN, Oscar Ortiz",82,162187,2023-12-01
33,LA FALDA,Myke Towers,94,174229,2023-09-18
34,Linea Del Perreo,"Uzielito Mix, Yeri Mua, El Jordan 23, Dj Kiire",84,181137,2023-12-12
35,Tipo Gatsby,"Oscar Maydon, Natanael Cano, Gabito Ballesteros",84,202000,2023-12-22
36,Tacata (Remix),"Tiagz, Fuerza Regida, El Alfa",85,156716,2023-12-22
37,"Young Miko: Bzrp Music Sessions, Vol. 58","Bizarrap, Young Miko",93,187172,2024-01-10
38,HARLEY QUINN,"Fuerza Regida, Marshmello",93,143327,2023-10-20
39,Modo DND,"Xavi, Tony Aguirre",89,220298,2023-10-26
40,Poco A Poco,"Xavi, Los Dareyes De La Sierra",91,156040,2023-09-21
41,YW&F - Versión Reggaeton,Oscar Maydon,79,168210,2023-12-22
42,MAMI CHAKALOSA,"Bellakath, Yeyo",71,136843,2024-01-30
43,Training Season,Dua Lipa,91,209487,2024-02-15
44,Mi Bello Angel,Natanael Cano,88,188666,2023-06-30
45,CCC - Remix,"Michelle Maciel, Eden Muñoz, Panter Bélico",82,147877,2023-08-31
46,Brattiputy,"Yeri Mua, Uzielito Mix, Jey F, El Gudi, Alan Dazmel, Oviña",76,230816,2024-01-18
47,Adrenalina,"Natanael Cano, Dan Sanchez",81,150974,2024-01-19
48,LAGUNAS,"Peso Pluma, Jasiel Nuñez",85,231246,2023-06-29
49,LUNA,"Feid, ATL Jacob",97,196800,2023-12-01
50,Por Dentro,"Rels B, Kenia OS",83,165981,2023-11-23
1,LA FALDA,Myke Towers,94,174229,2023-09-18
2,LUNA,"Feid, ATL Jacob",97,196800,2023-12-01
3,CONTIGO (with Tiësto),"KAROL G, Tiësto",90,192786,2024-02-15
4,La Diabla,Xavi,98,172264,2023-11-30
5,Gata Only,"FloyyMenor, Cris Mj",91,222000,2024-02-02
6,PERRO NEGRO,"Bad Bunny, Feid",95,162767,2023-10-13
7,BELLAKEO,"Peso Pluma, Anitta",94,197333,2023-12-07
8,"Young Miko: Bzrp Music Sessions, Vol. 58","Bizarrap, Young Miko",93,187172,2024-01-10
9,Patadas de Ahogado / LATIN MAFIA - Rework,HUGEL,58,186341,2024-02-22
10,SI SABE FERXXO,"Blessd, Feid",86,152500,2024-01-25
11,A Tu Manera,"Junior H, Peso Pluma",85,261068,2024-02-16
12,La Intención,"Christian Nodal, Peso Pluma",89,249464,2024-01-27
13,TÚ NAME,Fuerza Regida,82,152078,2024-02-09
14,The One (Pero No Como Yo),"Carin Leon, Kane Brown",62,176800,2024-03-01
15,FIRST LOVE,"Oscar Ortiz, Edgardo Nuñez",92,169440,2023-12-07
16,Mamichula - con Nicki Nicole,"Trueno, Nicki Nicole, Bizarrap, Taiu, TATOOL",88,219201,2020-07-23
17,Igual Que Un Ángel (with Peso Pluma),"Kali Uchis, Peso Pluma",95,260370,2024-01-12
18,Lollipop - Remix,"Darell, Ozuna, Maluma",80,266616,2024-02-15
19,Mamasota,"Manuel Turizo, Yandel",75,216424,2024-02-22
20,Piel,"Tiago PZK, Ke Personajes",82,141079,2024-02-01
21,Alucin,"Eugenio Esquivel, Grupo Marca Registrada, Sebastian Esquivel",91,197114,2023-11-17
22,Según Quién,"Maluma, Carin Leon",85,142334,2023-08-17
23,Hey Lil Mama,"Eladio Carrion, Rauw Alejandro",85,216338,2024-01-19
24,UNA CERVEZA,"Fuerza Regida, Manuel Turizo",87,279275,2023-10-20
25,QLONA,"KAROL G, Peso Pluma",84,172797,2023-08-11
26,PLIS,"Camilo, Evaluna Montaner",78,222800,2024-02-06
27,En Esta Boca,"Kany García, Young Miko",73,170742,2024-02-22
28,Quédate Bebé,Grupo Frontera,80,193258,2024-02-15
29,X'CLUSIVO - REMIX,"Gonzy, SAIKO, Arcángel",66,208133,2024-02-29
30,Una Foto Remix (feat. Emilia),"Mesita, Nicki Nicole, Tiago PZK, Emilia",91,243898,2024-01-05
31,La Víctima,Xavi,95,156345,2023-08-17
32,LALA,Myke Towers,91,197920,2023-03-23
33,MONACO,Bad Bunny,91,267194,2023-10-13
34,AMOR,Danny Ocean,76,180857,2024-02-09
35,Rompe La Dompe,"Peso Pluma, Junior H, Oscar Maydon",89,165634,2023-12-28
36,No Te Quieren Conmigo,"Gaby Music, Lunay, Luar La L",88,252040,2023-12-15
37,Morfina (feat. Paloma Mami),"Prince Royce, Paloma Mami",72,229474,2024-02-15
38,Bling Bling,"Grupo Marca Registrada, Octavio Cuadras",84,162649,2023-11-27
39,Que Onda,"Calle 24, Chino Pacas, Fuerza Regida",93,191466,2023-08-30
40,Columbia,Quevedo,91,186000,2023-07-07
41,DILUVIO,Rauw Alejandro,90,197052,2023-07-07
42,Tacata (Remix),"Tiagz, Fuerza Regida, El Alfa",85,156716,2023-12-22
43,Pa Ti Estoy,"Ozuna, Anuel AA, Chris Jedi",82,206103,2023-11-17
44,TU$$I (with Dei V),"YOVNGCHIMI, Dei V",73,163200,2023-10-20
45,BUBALU,"Feid, Rema",79,228186,2023-09-29
46,Fría,"Enrique Iglesias, Yotuel",74,176606,2024-01-31
47,HOLA PERDIDA,"Luck Ra, KHEA",84,166536,2024-01-05
48,OA,"Anuel AA, Quevedo, Maluma, Mambo Kingz, DJ Luian",85,235200,2023-10-13
49,ELOVRGA,"Alex Favela, Grupo Marca Registrada, Joaquin Medina",88,194769,2023-08-18
50,Cactus,Belinda,83,183381,2024-01-31
1,Cruel Summer,Taylor Swift,99,178426,2019-08-23
2,greedy,Tate McRae,99,131872,2023-09-15
3,Según Quién,"Maluma, Carin Leon",89,142334,2023-08-25
4,La Diabla,Xavi,98,172264,2023-11-30
5,Lovin On Me,Jack Harlow,97,138411,2023-11-10
6,Beautiful Things,Benson Boone,100,180304,2024-01-18
7,LUNA,"Feid, ATL Jacob",97,196800,2023-12-01
8,"yes, and?",Ariana Grande,96,214994,2024-01-12
9,La Víctima,Xavi,95,156345,2023-08-17
10,Strangers,Kenya Grace,95,172964,2023-09-01
11,Flowers,Miley Cyrus,95,200600,2023-08-18
12,TEXAS HOLD 'EM,Beyoncé,87,235636,2024-02-10
13,End of Beginning,Djo,92,159245,2022-09-16
14,Igual Que Un Ángel (with Peso Pluma),"Kali Uchis, Peso Pluma",95,260370,2024-01-12
15,HARLEY QUINN,"Fuerza Regida, Marshmello",93,143327,2023-10-20
16,BELLAKEO,"Peso Pluma, Anitta",94,197333,2023-12-07
17,As It Was,Harry Styles,94,167303,2022-05-20
18,Regalo De Dios,Julión Álvarez y su Norteño Banda,88,185933,2023-11-17
19,Que Onda,"Calle 24, Chino Pacas, Fuerza Regida",93,191466,2023-08-30
20,Si No Estás,iñigo quintero,93,184061,2022-09-23
21,CARNIVAL,"¥$, Kanye West, Ty Dolla $ign, Rich The Kid, Playboi Carti",95,264324,2024-02-09
22,FIRST LOVE,"Oscar Ortiz, Edgardo Nuñez",92,169440,2023-12-07
23,A Tu Manera,"Junior H, Peso Pluma",85,261068,2024-02-16
24,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",85,244684,2024-02-09
25,I'm Good (Blue),"David Guetta, Bebe Rexha",92,175238,2022-08-26
26,LALA,Myke Towers,91,197920,2023-03-23
27,Columbia,Quevedo,91,186000,2023-07-07
28,MONACO,Bad Bunny,91,267194,2023-10-13
29,Poco A Poco,"Xavi, Los Dareyes De La Sierra",91,156040,2023-09-21
30,Alucin,"Eugenio Esquivel, Grupo Marca Registrada, Sebastian Esquivel",91,197114,2023-11-17
31,LADY GAGA,"Peso Pluma, Gabito Ballesteros, Junior H",90,212878,2023-06-29
32,Y LLORO,Junior H,90,179013,2023-10-05
33,EL AMOR DE SU VIDA,"Grupo Frontera, Grupo Firme",89,165848,2023-08-25
34,La Intención,"Christian Nodal, Peso Pluma",89,249464,2024-01-27
35,Calm Down (with Selena Gomez),"Rema, Selena Gomez",88,239317,2022-08-25
36,O Me Voy O Te Vas,Natanael Cano,88,242133,2023-10-11
37,Me Porto Bonito,"Bad Bunny, Chencho Corleone",89,178567,2022-05-06
38,Rompe La Dompe,"Peso Pluma, Junior H, Oscar Maydon",89,165634,2023-12-28
39,La Bebe - Remix,"Yng Lvcas, Peso Pluma",88,234352,2023-03-17
40,TQG,"KAROL G, Shakira",88,197933,2023-02-24
41,ELOVRGA,"Alex Favela, Grupo Marca Registrada, Joaquin Medina",88,194769,2023-08-18
42,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",87,198937,2022-07-06
43,LOU LOU,"Gabito Ballesteros, Natanael Cano",87,188000,2023-10-19
44,Primera Cita,Carin Leon,86,186455,2023-05-19
45,Reggaeton Champagne,"Bellakath, Dani Flow",86,159170,2023-10-05
46,BIPOLAR,"Peso Pluma, Jasiel Nuñez, Junior H",86,265045,2023-09-07
47,Ojitos Lindos,"Bad Bunny, Bomba Estéreo",87,258298,2022-05-06
48,A Puro Dolor,Gabito Ballesteros,86,168086,2023-11-30
49,Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",85,202735,2021-08-13
50,Tacata (Remix),"Tiagz, Fuerza Regida, El Alfa",85,156716,2023-12-22
51,El Gordo Trae El Mando,Chino Pacas,85,112087,2023-01-27
52,Tití Me Preguntó,Bad Bunny,86,243716,2022-05-06
53,CLASSY 101,"Feid, Young Miko",85,195986,2023-03-31
54,Fin de Semana,"Oscar Maydon, Junior H",85,224920,2023-01-13
55,MOJABI GHOST,"Tainy, Bad Bunny",85,232131,2023-06-29
56,"Shakira: Bzrp Music Sessions, Vol. 53","Bizarrap, Shakira",84,214945,2023-01-11
57,Ella Baila Sola,"Eslabon Armado, Peso Pluma",84,165671,2023-03-16
58,Linea Del Perreo,"Uzielito Mix, Yeri Mua, El Jordan 23, Dj Kiire",84,181137,2023-12-12
59,QLONA,"KAROL G, Peso Pluma",84,172797,2023-08-11
60,La Bachata,Manuel Turizo,84,162637,2022-05-26
61,Efecto,Bad Bunny,85,213061,2022-05-06
62,BESO,"ROSALÍA, Rauw Alejandro",84,194543,2023-03-24
63,un x100to,"Grupo Frontera, Bad Bunny",84,194563,2023-04-17
64,Vete,Alfredo Olivas,84,185240,2022-09-30
65,Mood Malandro,"Código FN, Gabito Ballesteros",83,191558,2023-08-24
66,SABOR FRESA,Fuerza Regida,83,156500,2023-06-22
67,cómo dormiste?,Rels B,83,112572,2022-08-04
68,Pepas,Farruko,83,287120,2021-06-24
69,Jordan,Ryan Castro,83,176142,2022-05-24
70,Una Noche en Medellín,Cris Mj,82,153750,2022-01-21
71,El Merengue,"Marshmello, Manuel Turizo",82,189668,2023-03-03
72,Pongámonos De Acuerdo,Julión Álvarez y su Norteño Banda,82,161906,2015-03-23
73,"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",82,188361,2023-06-01
74,NO SE VA - EN VIVO,Grupo Frontera,82,193816,2023-08-25
75,TQM,Fuerza Regida,82,158965,2023-05-19
76,No Es Por Acá,Carin Leon,82,167692,2023-05-19
77,Cuando Nadie Ve,Morat,81,219586,2018-10-25
78,Hasta la Raíz,Natalia Lafourcade,81,221800,2015-11-13
79,Ojos Cerrados,"Banda MS de Sergio Lizárraga, Carin Leon",81,180750,2022-01-07
80,Ya No Somos Ni Seremos,Christian Nodal,81,185722,2022-02-18
81,PRC,"Peso Pluma, Natanael Cano",81,184066,2023-01-23
82,El Hijo Mayor,Junior H,80,196500,2022-05-20
83,MAMIII,"Becky G, KAROL G",80,226093,2022-05-13
84,Desesperados,"Rauw Alejandro, Chencho Corleone",80,224996,2021-12-10
85,Monotonía,"Shakira, Ozuna",80,158804,2022-10-19
86,Botella Tras Botella,"Gera MX, Christian Nodal",80,197333,2021-04-23
87,Mon Amour - Remix,"zzoilo, Aitana",80,179940,2021-08-18
88,San Lucas,Kevin Kaarl,80,247196,2019-11-07
89,El Tóxico,"Grupo Firme, Carin Leon",80,179745,2020-10-27
90,Que Vuelvas,"Carin Leon, Grupo Frontera",80,169418,2022-12-09
91,Shorty Party,"Cartel De Santa, La Kelly",80,265000,2023-03-04
92,Fuentes de Ortiz,Ed Maverick,80,207400,2018-03-02
93,DEMBOW BÉLICO,"Tito Double P, Joel De La P, Luis R Conriquez",80,126522,2023-06-03
94,Fuera del mercado,Danny Ocean,80,159849,2022-02-17
95,Te Felicito,"Shakira, Rauw Alejandro",79,172235,2022-04-21
96,DESPECHÁ,ROSALÍA,79,157017,2022-07-28
97,Cúrame,Rauw Alejandro,79,164705,2021-12-10
98,Los Botones Azules,"Junior H, Luis R Conriquez",79,135611,2022-02-11
99,Volví,"Aventura, Bad Bunny",79,230125,2021-08-03
100,Don't Be Shy,"Tiësto, KAROL G",79,140500,2021-08-12
